GENE_ID	Target
LINC00313	miR-4429, SOX2
FAM83H-AS1	CDKN1A, EZH2
NEAT1	MET, PNPLA2, E2F3, miR-506-3p, MAPK6, CDH2, MCL1, GATA3, EZH2, KLF6, ROCK1, CDK6, USF1, miR-214, LEF1, miR-506, CDH1, WNT4, IL6, miR-613, CTNNB1, ZEB1, miR-194, miR-101, MMP2, MMP7, HMGA1, IGF2, miR-335-5p, SPP1, NRAS, miR-342-3p, EIF4G1, miR-128, CDK5R1, DDX5, CXCR4, miR-129-5p, miR-204, CDK14, STAT3, HMGA2, BCL2, CCND1, CTBP2, MYC, TGFB1, SIN3A
ZFPM2-AS1	MIF
SNHG1	TCF7, miR-195, EZH2, NOB1, VIM, WNT2B, CDH1, ZEB1, CST3, YAP1, miR-137, CDK7, RAB11A, CDKN2B, MTDH, CCND2, miR-448, CDKN1A, TP53, SIAH1, IDO1, NOTCH1, DNMT1, TGFBR2, SOX9, HES2, KLF2, MYC, CDH2, GSK3B
LINC00222	GSK3B
TP73-AS1	TWIST1, TFAM, HMGB1, AGER, CASP9, CASP3, miR-142, EZH2, PPP1R13L, CDH1, ZEB1, TGFA, BDH2, SDAD1
PVT1	miR-497, STAT1, miR-195, ATG7, miR-488-3p, MRPL28, EZH2, MCL1, GREM1, SMAD2, ABCC1, ULK1, IGF1R, RUNX2, TWIST1, LATS2, CDKN2A, MMP9, FASN, miR-26b, SMAD3, miR-424, TSHR, SOX2, ANGPTL4, MTOR, FGFR1, ABCB1, YAP1, HK2, HIF1A, miR-190a-5p, miR-200c, CDKN2B, CDKN1A, LASP1, BECN1, miR-133a, miR-146a, miR-200b, FGF2, FOXM1, SMAD4, BCL2, INCENP, CCND1, HILPDA, miR-519d-3p, MYC, TGFB1, miR-214
FEZF1-AS1	AKT3, EZH2, CDH1, CDKN1A, FEZF1, KDM1A, PKM
DANCR	TIMP3, AXL, IGF2, MMP9, HDAC3, EZH2, RAB1A, TNF, ROCK1, TIMP2, miR-758-3p, IL6, NPTN-IT1, CDKN1A, CTNNB1, SPHK2, miR-216a
